panel,neuron,time_s,activation_normalized
Lidar,L0,0.0,1.0
Lidar,L0,0.098,0.0549
Lidar,L0,0.196,0.0
Lidar,L0,0.294,0.0
Lidar,L0,0.391,0.0
Lidar,L0,0.489,0.0
Lidar,L0,0.587,0.0
Lidar,L0,0.685,0.0
Lidar,L0,0.783,0.0
Lidar,L0,0.881,0.0
Lidar,L0,0.978,0.0
Lidar,L0,1.076,0.0
Lidar,L0,1.174,0.0
Lidar,L0,1.272,0.0
Lidar,L0,1.37,0.0
Lidar,L0,1.468,0.0
Lidar,L0,1.566,0.0
Lidar,L0,1.663,0.0
Lidar,L0,1.761,0.0
Lidar,L0,1.859,0.0
Lidar,L0,1.957,0.0
Lidar,L0,2.055,0.0
Lidar,L0,2.153,0.0
Lidar,L0,2.25,0.0
Lidar,L0,2.348,0.0
Lidar,L0,2.446,0.0
Lidar,L0,2.544,0.0
Lidar,L0,2.642,0.0
Lidar,L0,2.74,0.0
Lidar,L0,2.838,0.0
Lidar,L0,2.935,0.0
Lidar,L0,3.033,0.0
Lidar,L0,3.131,0.0
Lidar,L0,3.229,0.0
Lidar,L0,3.327,0.0
Lidar,L0,3.425,0.0
Lidar,L0,3.523,0.0
Lidar,L0,3.62,0.0
Lidar,L0,3.718,0.0
Lidar,L0,3.816,0.0
Lidar,L0,3.914,0.0
Lidar,L0,4.012,0.0
Lidar,L0,4.11,0.0
Lidar,L0,4.207,0.0
Lidar,L0,4.305,0.0
Lidar,L0,4.403,0.0
Lidar,L0,4.501,0.0
Lidar,L0,4.599,0.0
Lidar,L0,4.697,0.0
Lidar,L0,4.795,0.0
Lidar,L0,4.892,0.0
Lidar,L0,4.99,0.0
Lidar,L0,5.088,0.0
Lidar,L0,5.186,0.0
Lidar,L0,5.284,0.0
Lidar,L0,5.382,0.0
Lidar,L0,5.479,0.0
Lidar,L0,5.577,0.0
Lidar,L0,5.675,0.0
Lidar,L0,5.773,0.0
Lidar,L0,5.871,0.0
Lidar,L0,5.969,0.0
Lidar,L0,6.067,0.0
Lidar,L0,6.164,0.0
Lidar,L0,6.262,0.0
Lidar,L0,6.36,0.0
Lidar,L0,6.458,0.0
Lidar,L0,6.556,0.0
Lidar,L0,6.654,0.0
Lidar,L0,6.751,0.0
Lidar,L0,6.849,0.0
Lidar,L0,6.947,0.0
Lidar,L0,7.045,0.0
Lidar,L0,7.143,0.0
Lidar,L0,7.241,0.0
Lidar,L0,7.339,0.0
Lidar,L0,7.436,0.0
Lidar,L0,7.534,0.0
Lidar,L0,7.632,0.0
Lidar,L0,7.73,0.0
Lidar,L0,7.828,0.0
Lidar,L0,7.926,0.0
Lidar,L0,8.023,0.0
Lidar,L0,8.121,0.0
Lidar,L0,8.219,0.0
Lidar,L0,8.317,0.0
Lidar,L0,8.415,0.0
Lidar,L0,8.513,0.0
Lidar,L0,8.611,0.0
Lidar,L0,8.708,0.0
Lidar,L0,8.806,0.0
Lidar,L0,8.904,0.0
Lidar,L0,9.002,0.0
Lidar,L0,9.1,0.0
Lidar,L0,9.198,0.0
Lidar,L0,9.295,0.0
Lidar,L0,9.393,0.0
Lidar,L0,9.491,0.0
Lidar,L0,9.589,0.0
Lidar,L0,9.687,0.0
Lidar,L0,9.785,0.0
Lidar,L0,9.883,0.0
Lidar,L0,9.98,0.0
Lidar,L0,10.078,0.0
Lidar,L0,10.176,0.0
Lidar,L0,10.274,0.0
Lidar,L0,10.372,0.0
Lidar,L0,10.47,0.0
Lidar,L0,10.568,0.0
Lidar,L0,10.665,0.0
Lidar,L0,10.763,0.0
Lidar,L0,10.861,0.0
Lidar,L0,10.959,0.0
Lidar,L0,11.057,0.0
Lidar,L0,11.155,0.0
Lidar,L0,11.252,0.0
Lidar,L0,11.35,0.0
Lidar,L0,11.448,0.0
Lidar,L0,11.546,0.0
Lidar,L0,11.644,0.0
Lidar,L0,11.742,0.0
Lidar,L0,11.84,0.0
Lidar,L0,11.937,0.0
Lidar,L0,12.035,0.0
Lidar,L0,12.133,0.0
Lidar,L0,12.231,0.0
Lidar,L0,12.329,0.0
Lidar,L0,12.427,0.0
Lidar,L0,12.524,0.0
Lidar,L0,12.622,0.0
Lidar,L0,12.72,0.0
Lidar,L0,12.818,0.0
Lidar,L0,12.916,0.0
Lidar,L0,13.014,0.0
Lidar,L0,13.112,0.0
Lidar,L0,13.209,0.0
Lidar,L0,13.307,0.0
Lidar,L0,13.405,0.0
Lidar,L0,13.503,0.0
Lidar,L0,13.601,0.0
Lidar,L0,13.699,0.0
Lidar,L0,13.796,0.0
Lidar,L0,13.894,0.0
Lidar,L0,13.992,0.0
Lidar,L0,14.09,0.0
Lidar,L0,14.188,0.0
Lidar,L0,14.286,0.0
Lidar,L0,14.384,0.0
Lidar,L0,14.481,0.0
Lidar,L0,14.579,0.0
Lidar,L0,14.677,0.0
Lidar,L0,14.775,0.0
Lidar,L0,14.873,0.0
Lidar,L0,14.971,0.0
Lidar,L0,15.068,0.0
Lidar,L0,15.166,0.0
Lidar,L0,15.264,0.0
Lidar,L0,15.362,0.0
Lidar,L0,15.46,0.0
Lidar,L0,15.558,0.0
Lidar,L0,15.656,0.0
Lidar,L0,15.753,0.0
Lidar,L0,15.851,0.0
Lidar,L0,15.949,0.0
Lidar,L0,16.047,0.0
Lidar,L0,16.145,0.0
Lidar,L0,16.243,0.0
Lidar,L0,16.341,0.0
Lidar,L0,16.438,0.0
Lidar,L0,16.536,0.0
Lidar,L0,16.634,0.0
Lidar,L0,16.732,0.0
Lidar,L0,16.83,0.0
Lidar,L0,16.928,0.0
Lidar,L0,17.025,0.0
Lidar,L0,17.123,0.0
Lidar,L0,17.221,0.0
Lidar,L0,17.319,0.0
Lidar,L0,17.417,0.0
Lidar,L0,17.515,0.0
Lidar,L0,17.613,0.0
Lidar,L0,17.71,0.0
Lidar,L0,17.808,0.0
Lidar,L0,17.906,0.0
Lidar,L0,18.004,0.0
Lidar,L0,18.102,0.0
Lidar,L0,18.2,0.0
Lidar,L0,18.297,0.0
Lidar,L0,18.395,0.0
Lidar,L0,18.493,0.0
Lidar,L0,18.591,0.0
Lidar,L0,18.689,0.0
Lidar,L0,18.787,0.0
Lidar,L0,18.885,0.0
Lidar,L0,18.982,0.0
Lidar,L0,19.08,0.0
Lidar,L0,19.178,0.0
Lidar,L0,19.276,0.0
Lidar,L0,19.374,0.0
Lidar,L0,19.472,0.0
Lidar,L0,19.569,0.0
Lidar,L0,19.667,0.0
Lidar,L0,19.765,0.0
Lidar,L0,19.863,0.0
Lidar,L0,19.961,0.0
Lidar,L0,20.059,0.0
Lidar,L0,20.157,0.0
Lidar,L0,20.254,0.0
Lidar,L0,20.352,0.0
Lidar,L0,20.45,0.0
Lidar,L0,20.548,0.0
Lidar,L0,20.646,0.0
Lidar,L0,20.744,0.0
Lidar,L0,20.841,0.0
Lidar,L0,20.939,0.0
Lidar,L0,21.037,0.0
Lidar,L0,21.135,0.0
Lidar,L0,21.233,0.0
Lidar,L0,21.331,0.0
Lidar,L0,21.429,0.0
Lidar,L0,21.526,0.0
Lidar,L0,21.624,0.0
Lidar,L0,21.722,0.0
Lidar,L0,21.82,0.0
Lidar,L0,21.918,0.0
Lidar,L0,22.016,0.0
Lidar,L0,22.114,0.0
Lidar,L0,22.211,0.0
Lidar,L0,22.309,0.0
Lidar,L0,22.407,0.0
Lidar,L0,22.505,0.0
Lidar,L0,22.603,0.0
Lidar,L0,22.701,0.0
Lidar,L0,22.798,0.0
Lidar,L0,22.896,0.0
Lidar,L0,22.994,0.0
Lidar,L0,23.092,0.0
Lidar,L0,23.19,0.0
Lidar,L0,23.288,0.0
Lidar,L0,23.386,0.0
Lidar,L0,23.483,0.0
Lidar,L0,23.581,0.0
Lidar,L0,23.679,0.0
Lidar,L0,23.777,0.0
Lidar,L0,23.875,0.0
Lidar,L0,23.973,0.0
Lidar,L0,24.07,0.0
Lidar,L0,24.168,0.0
Lidar,L0,24.266,0.0
Lidar,L0,24.364,0.0
Lidar,L0,24.462,0.0
Lidar,L0,24.56,0.0
Lidar,L0,24.658,0.0
Lidar,L0,24.755,0.0
Lidar,L0,24.853,0.0
Lidar,L0,24.951,0.0
Lidar,L0,25.049,0.0
Lidar,L0,25.147,0.0
Lidar,L0,25.245,0.0
Lidar,L0,25.342,0.0
Lidar,L0,25.44,0.0
Lidar,L0,25.538,0.0
Lidar,L0,25.636,0.0
Lidar,L0,25.734,0.0
Lidar,L0,25.832,0.0
Lidar,L0,25.93,0.0
Lidar,L0,26.027,0.0
Lidar,L0,26.125,0.0
Lidar,L0,26.223,0.0
Lidar,L0,26.321,0.0
Lidar,L0,26.419,0.0
Lidar,L0,26.517,0.0
Lidar,L0,26.614,0.0
Lidar,L0,26.712,0.0
Lidar,L0,26.81,0.0
Lidar,L0,26.908,0.0
Lidar,L0,27.006,0.0
Lidar,L0,27.104,0.0
Lidar,L0,27.202,0.0
Lidar,L0,27.299,0.0
Lidar,L0,27.397,0.0
Lidar,L0,27.495,0.0
Lidar,L0,27.593,0.0
Lidar,L0,27.691,0.0
Lidar,L0,27.789,0.0
Lidar,L0,27.886,0.0
Lidar,L0,27.984,0.0
Lidar,L0,28.082,0.0
Lidar,L0,28.18,0.0
Lidar,L0,28.278,0.0
Lidar,L0,28.376,0.0
Lidar,L0,28.474,0.0
Lidar,L0,28.571,0.0
Lidar,L0,28.669,0.0
Lidar,L0,28.767,0.0
Lidar,L0,28.865,0.0
Lidar,L0,28.963,0.0
Lidar,L0,29.061,0.0
Lidar,L0,29.159,0.0
Lidar,L0,29.256,0.0
Lidar,L0,29.354,0.0
Lidar,L0,29.452,0.0
Lidar,L0,29.55,0.0
Lidar,L0,29.648,0.0
Lidar,L0,29.746,0.0
Lidar,L0,29.843,0.0
Lidar,L0,29.941,0.0
Lidar,L0,30.039,0.0
Lidar,L0,30.137,0.0
Lidar,L0,30.235,0.0
Lidar,L0,30.333,0.0
Lidar,L0,30.431,0.0
Lidar,L0,30.528,0.0
Lidar,L0,30.626,0.0
Lidar,L0,30.724,0.0
Lidar,L0,30.822,0.0
Lidar,L0,30.92,0.0
Lidar,L0,31.018,0.0
Lidar,L0,31.115,0.0
Lidar,L0,31.213,0.0
Lidar,L0,31.311,0.0
Lidar,L0,31.409,0.0
Lidar,L0,31.507,0.0
Lidar,L0,31.605,0.0
Lidar,L0,31.703,0.0
Lidar,L0,31.8,0.0
Lidar,L0,31.898,0.0
Lidar,L0,31.996,0.0
Lidar,L0,32.094,0.0
Lidar,L0,32.192,0.0
Lidar,L0,32.29,0.0
Lidar,L0,32.387,0.0
Lidar,L0,32.485,0.0
Lidar,L0,32.583,0.0
Lidar,L0,32.681,0.0
Lidar,L0,32.779,0.0
Lidar,L0,32.877,0.0
Lidar,L0,32.975,0.0
Lidar,L0,33.072,0.0
Lidar,L0,33.17,0.0
Lidar,L0,33.268,0.0
Lidar,L0,33.366,0.0
Lidar,L0,33.464,0.0
Lidar,L0,33.562,0.0
Lidar,L0,33.659,0.0
Lidar,L0,33.757,0.0
Lidar,L0,33.855,0.0
Lidar,L0,33.953,0.0
Lidar,L0,34.051,0.0
Lidar,L0,34.149,0.0
Lidar,L0,34.247,0.0078
Lidar,L0,34.344,0.0078
Lidar,L0,34.442,0.0118
Lidar,L0,34.54,0.0118
Lidar,L0,34.638,0.0196
Lidar,L0,34.736,0.0431
Lidar,L0,34.834,0.0431
Lidar,L0,34.932,0.098
Lidar,L0,35.029,0.1294
Lidar,L0,35.127,0.1569
Lidar,L0,35.225,0.1569
Lidar,L0,35.323,0.1843
Lidar,L0,35.421,0.2157
Lidar,L0,35.519,0.2431
Lidar,L0,35.616,0.2431
Lidar,L0,35.714,0.2667
Lidar,L0,35.812,0.2902
Lidar,L0,35.91,0.3137
Lidar,L0,36.008,0.3137
Lidar,L0,36.106,0.3137
Lidar,L0,36.204,0.3137
Lidar,L0,36.301,0.3137
Lidar,L0,36.399,0.3137
Lidar,L0,36.497,0.3137
Lidar,L0,36.595,0.3137
Lidar,L0,36.693,0.3137
Lidar,L0,36.791,0.3137
Lidar,L0,36.888,0.3137
Lidar,L0,36.986,0.3137
Lidar,L0,37.084,0.3137
Lidar,L0,37.182,0.3137
Lidar,L0,37.28,0.3137
Lidar,L0,37.378,0.3137
Lidar,L0,37.476,0.3137
Lidar,L0,37.573,0.3137
Lidar,L0,37.671,0.3137
Lidar,L0,37.769,0.3137
Lidar,L0,37.867,0.3137
Lidar,L0,37.965,0.3137
Lidar,L0,38.063,0.3137
Lidar,L0,38.16,0.3137
Lidar,L0,38.258,0.3137
Lidar,L0,38.356,0.3137
Lidar,L0,38.454,0.3137
Lidar,L0,38.552,0.3137
Lidar,L0,38.65,0.3137
Lidar,L0,38.748,0.3137
Lidar,L0,38.845,0.3137
Lidar,L0,38.943,0.3137
Lidar,L0,39.041,0.3137
Lidar,L0,39.139,0.3137
Lidar,L0,39.237,0.3137
Lidar,L0,39.335,0.3137
Lidar,L0,39.432,0.3137
Lidar,L0,39.53,0.3137
Lidar,L0,39.628,0.3137
Lidar,L0,39.726,0.3137
Lidar,L0,39.824,0.3137
Lidar,L0,39.922,0.3137
Lidar,L0,40.02,0.3137
Lidar,L0,40.117,0.3137
Lidar,L0,40.215,0.3137
Lidar,L0,40.313,0.3137
Lidar,L0,40.411,0.3137
Lidar,L0,40.509,0.3137
Lidar,L0,40.607,0.3137
Lidar,L0,40.705,0.3137
Lidar,L0,40.802,0.3137
Lidar,L0,40.9,0.3529
Lidar,L0,40.998,0.3882
Lidar,L0,41.096,0.4235
Lidar,L0,41.194,0.451
Lidar,L0,41.292,0.5098
Lidar,L0,41.389,0.5412
Lidar,L0,41.487,0.5647
Lidar,L0,41.585,0.5647
Lidar,L0,41.683,0.5882
Lidar,L0,41.781,0.6157
Lidar,L0,41.879,0.6314
Lidar,L0,41.977,0.651
Lidar,L0,42.074,0.6627
Lidar,L0,42.172,0.6824
Lidar,L0,42.27,0.6941
Lidar,L0,42.368,0.7137
Lidar,L0,42.466,0.7137
Lidar,L0,42.564,0.7255
Lidar,L0,42.661,0.7333
Lidar,L0,42.759,0.7451
Lidar,L0,42.857,0.7137
Lidar,L0,42.955,0.6902
Lidar,L0,43.053,0.6706
Lidar,L0,43.151,0.651
Lidar,L0,43.249,0.6353
Lidar,L0,43.346,0.6196
Lidar,L0,43.444,0.6078
Lidar,L0,43.542,0.5961
Lidar,L0,43.64,0.5882
Lidar,L0,43.738,0.5804
Lidar,L0,43.836,0.5686
Lidar,L0,43.933,0.5569
Lidar,L0,44.031,0.5529
Lidar,L0,44.129,0.5451
Lidar,L0,44.227,0.5451
Lidar,L0,44.325,0.5412
Lidar,L0,44.423,0.5294
Lidar,L0,44.521,0.5294
Lidar,L0,44.618,0.5255
Lidar,L0,44.716,0.5294
Lidar,L0,44.814,0.4902
Lidar,L0,44.912,0.4549
Lidar,L0,45.01,0.4275
Lidar,L0,45.108,0.4275
Lidar,L0,45.205,0.4
Lidar,L0,45.303,0.3725
Lidar,L0,45.401,0.349
Lidar,L0,45.499,0.3137
Lidar,L0,45.597,0.298
Lidar,L0,45.695,0.2824
Lidar,L0,45.793,0.2549
Lidar,L0,45.89,0.2549
Lidar,L0,45.988,0.2275
Lidar,L0,46.086,0.2039
Lidar,L0,46.184,0.1843
Lidar,L0,46.282,0.1647
Lidar,L0,46.38,0.149
Lidar,L0,46.477,0.1333
Lidar,L0,46.575,0.1098
Lidar,L0,46.673,0.098
Lidar,L0,46.771,0.098
Lidar,L0,46.869,0.0863
Lidar,L0,46.967,0.0784
Lidar,L0,47.065,0.0706
Lidar,L0,47.162,0.0627
Lidar,L0,47.26,0.0549
Lidar,L0,47.358,0.051
Lidar,L0,47.456,0.0471
Lidar,L0,47.554,0.0392
Lidar,L0,47.652,0.0353
Lidar,L0,47.75,0.0314
Lidar,L0,47.847,0.0275
Lidar,L0,47.945,0.0275
Lidar,L0,48.043,0.0275
Lidar,L0,48.141,0.0275
Lidar,L0,48.239,0.0275
Lidar,L0,48.337,0.0275
Lidar,L0,48.434,0.0275
Lidar,L0,48.532,0.0275
Lidar,L0,48.63,0.0275
Lidar,L0,48.728,0.0275
Lidar,L0,48.826,0.0275
Lidar,L0,48.924,0.0275
Lidar,L0,49.022,0.0275
Lidar,L0,49.119,0.0275
Lidar,L0,49.217,0.0275
Lidar,L0,49.315,0.0275
Lidar,L0,49.413,0.0275
Lidar,L0,49.511,0.0275
Lidar,L0,49.609,0.0275
Lidar,L0,49.706,0.0275
Lidar,L0,49.804,0.0275
Lidar,L0,49.902,0.0275
Lidar,L0,50.0,0.0275
Lidar,L0,50.098,0.0275
Lidar,L0,50.196,0.0275
Lidar,L0,50.294,0.0275
Lidar,L0,50.391,0.0275
Lidar,L0,50.489,0.0275
Lidar,L0,50.587,0.0275
Lidar,L0,50.685,0.0275
Lidar,L0,50.783,0.0275
Lidar,L0,50.881,0.0275
Lidar,L0,50.978,0.0275
Lidar,L0,51.076,0.0275
Lidar,L0,51.174,0.0275
Lidar,L0,51.272,0.0275
Lidar,L0,51.37,0.0275
Lidar,L0,51.468,0.0275
Lidar,L0,51.566,0.0275
Lidar,L0,51.663,0.0275
Lidar,L0,51.761,0.0275
Lidar,L0,51.859,0.0275
Lidar,L0,51.957,0.0275
Lidar,L0,52.055,0.0275
Lidar,L0,52.153,0.0275
Lidar,L0,52.25,0.0275
Lidar,L0,52.348,0.0275
Lidar,L0,52.446,0.0275
Lidar,L0,52.544,0.0275
Lidar,L0,52.642,0.0275
Lidar,L0,52.74,0.0275
Lidar,L0,52.838,0.0275
Lidar,L0,52.935,0.0235
Lidar,L0,53.033,0.0196
Lidar,L0,53.131,0.0196
Lidar,L0,53.229,0.0157
Lidar,L0,53.327,0.0157
Lidar,L0,53.425,0.0
Lidar,L0,53.523,0.0
Lidar,L0,53.62,0.0
Lidar,L0,53.718,0.0
Lidar,L0,53.816,0.0
Lidar,L0,53.914,0.0
Lidar,L0,54.012,0.0
Lidar,L0,54.11,0.0
Lidar,L0,54.207,0.0
Lidar,L0,54.305,0.0
Lidar,L0,54.403,0.0
Lidar,L0,54.501,0.0
Lidar,L0,54.599,0.0
Lidar,L0,54.697,0.0
Lidar,L0,54.795,0.0
Lidar,L0,54.892,0.0
Lidar,L0,54.99,0.0
Lidar,L0,55.088,0.0
Lidar,L0,55.186,0.0
Lidar,L0,55.284,0.0
Lidar,L0,55.382,0.0
Lidar,L0,55.479,0.0
Lidar,L0,55.577,0.0
Lidar,L0,55.675,0.0
Lidar,L0,55.773,0.0
Lidar,L0,55.871,0.0
Lidar,L0,55.969,0.0
Lidar,L0,56.067,0.0
Lidar,L0,56.164,0.0
Lidar,L0,56.262,0.0
Lidar,L0,56.36,0.0
Lidar,L0,56.458,0.0
Lidar,L0,56.556,0.0
Lidar,L0,56.654,0.0
Lidar,L0,56.751,0.0
Lidar,L0,56.849,0.0
Lidar,L0,56.947,0.0
Lidar,L0,57.045,0.0
Lidar,L0,57.143,0.0
Lidar,L0,57.241,0.0
Lidar,L0,57.339,0.0
Lidar,L0,57.436,0.0
Lidar,L0,57.534,0.0
Lidar,L0,57.632,0.0
Lidar,L0,57.73,0.0
Lidar,L0,57.828,0.0
Lidar,L0,57.926,0.0
Lidar,L0,58.023,0.0
Lidar,L0,58.121,0.0
Lidar,L0,58.219,0.0
Lidar,L0,58.317,0.0
Lidar,L0,58.415,0.0
Lidar,L0,58.513,0.0
Lidar,L0,58.611,0.0
Lidar,L0,58.708,0.0
Lidar,L0,58.806,0.0
Lidar,L0,58.904,0.0
Lidar,L0,59.002,0.0
Lidar,L0,59.1,0.0
Lidar,L0,59.198,0.0
Lidar,L0,59.295,0.0
Lidar,L0,59.393,0.0
Lidar,L0,59.491,0.0
Lidar,L0,59.589,0.0
Lidar,L0,59.687,0.0
Lidar,L0,59.785,0.0
Lidar,L0,59.883,0.0
Lidar,L0,59.98,0.0
Lidar,L0,60.078,0.0
Lidar,L0,60.176,0.0
Lidar,L0,60.274,0.0
Lidar,L0,60.372,0.0
Lidar,L0,60.47,0.0
Lidar,L0,60.568,0.0
Lidar,L0,60.665,0.0
Lidar,L0,60.763,0.0
Lidar,L0,60.861,0.0
Lidar,L0,60.959,0.0
Lidar,L0,61.057,0.0
Lidar,L0,61.155,0.0
Lidar,L0,61.252,0.0
Lidar,L0,61.35,0.0
Lidar,L0,61.448,0.0
Lidar,L0,61.546,0.0
Lidar,L0,61.644,0.0
Lidar,L0,61.742,0.0
Lidar,L0,61.84,0.0
Lidar,L0,61.937,0.0
Lidar,L0,62.035,0.0
Lidar,L0,62.133,0.0
Lidar,L0,62.231,0.0
Lidar,L0,62.329,0.0
Lidar,L0,62.427,0.0
Lidar,L0,62.524,0.0
Lidar,L0,62.622,0.0
Lidar,L0,62.72,0.0
Lidar,L0,62.818,0.0
Lidar,L0,62.916,0.0
Lidar,L0,63.014,0.0
Lidar,L0,63.112,0.0
Lidar,L0,63.209,0.0
Lidar,L0,63.307,0.0
Lidar,L0,63.405,0.0
Lidar,L0,63.503,0.0
Lidar,L0,63.601,0.0
Lidar,L0,63.699,0.0
Lidar,L0,63.796,0.0
Lidar,L0,63.894,0.0
Lidar,L0,63.992,0.0
Lidar,L0,64.09,0.0
Lidar,L0,64.188,0.0
Lidar,L0,64.286,0.0
Lidar,L0,64.384,0.0
Lidar,L0,64.481,0.0
Lidar,L0,64.579,0.0
Lidar,L0,64.677,0.0
Lidar,L0,64.775,0.0
Lidar,L0,64.873,0.0
Lidar,L0,64.971,0.0
Lidar,L0,65.068,0.0
Lidar,L0,65.166,0.0
Lidar,L0,65.264,0.0
Lidar,L0,65.362,0.0
Lidar,L0,65.46,0.0
Lidar,L0,65.558,0.0
Lidar,L0,65.656,0.0
Lidar,L0,65.753,0.0
Lidar,L0,65.851,0.0
Lidar,L0,65.949,0.0549
Lidar,L0,66.047,0.9765
Lidar,L1,0.0,1.0
Lidar,L1,0.098,0.0549
Lidar,L1,0.196,0.0
Lidar,L1,0.294,0.0
Lidar,L1,0.391,0.0
Lidar,L1,0.489,0.0
Lidar,L1,0.587,0.0
Lidar,L1,0.685,0.0
Lidar,L1,0.783,0.0
Lidar,L1,0.881,0.0
Lidar,L1,0.978,0.0
Lidar,L1,1.076,0.0
Lidar,L1,1.174,0.0
Lidar,L1,1.272,0.0
Lidar,L1,1.37,0.0
Lidar,L1,1.468,0.0
Lidar,L1,1.566,0.0
Lidar,L1,1.663,0.0
Lidar,L1,1.761,0.0
Lidar,L1,1.859,0.0
Lidar,L1,1.957,0.0
Lidar,L1,2.055,0.0
Lidar,L1,2.153,0.0
Lidar,L1,2.25,0.0
Lidar,L1,2.348,0.0
Lidar,L1,2.446,0.0
Lidar,L1,2.544,0.0
Lidar,L1,2.642,0.0
Lidar,L1,2.74,0.0
Lidar,L1,2.838,0.0
Lidar,L1,2.935,0.0
Lidar,L1,3.033,0.0
Lidar,L1,3.131,0.0
Lidar,L1,3.229,0.0
Lidar,L1,3.327,0.0
Lidar,L1,3.425,0.0
Lidar,L1,3.523,0.0
Lidar,L1,3.62,0.0
Lidar,L1,3.718,0.0
Lidar,L1,3.816,0.0
Lidar,L1,3.914,0.0
Lidar,L1,4.012,0.0
Lidar,L1,4.11,0.0
Lidar,L1,4.207,0.0
Lidar,L1,4.305,0.0
Lidar,L1,4.403,0.0
Lidar,L1,4.501,0.0
Lidar,L1,4.599,0.0
Lidar,L1,4.697,0.0
Lidar,L1,4.795,0.0
Lidar,L1,4.892,0.0
Lidar,L1,4.99,0.0
Lidar,L1,5.088,0.0
Lidar,L1,5.186,0.0
Lidar,L1,5.284,0.0
Lidar,L1,5.382,0.0
Lidar,L1,5.479,0.0
Lidar,L1,5.577,0.0
Lidar,L1,5.675,0.0
Lidar,L1,5.773,0.0
Lidar,L1,5.871,0.0
Lidar,L1,5.969,0.0
Lidar,L1,6.067,0.0
Lidar,L1,6.164,0.0
Lidar,L1,6.262,0.0
Lidar,L1,6.36,0.0
Lidar,L1,6.458,0.0
Lidar,L1,6.556,0.0
Lidar,L1,6.654,0.0
Lidar,L1,6.751,0.0
Lidar,L1,6.849,0.0
Lidar,L1,6.947,0.0
Lidar,L1,7.045,0.0
Lidar,L1,7.143,0.0
Lidar,L1,7.241,0.0
Lidar,L1,7.339,0.0
Lidar,L1,7.436,0.0
Lidar,L1,7.534,0.0
Lidar,L1,7.632,0.0
Lidar,L1,7.73,0.0
Lidar,L1,7.828,0.0
Lidar,L1,7.926,0.0
Lidar,L1,8.023,0.0
Lidar,L1,8.121,0.0
Lidar,L1,8.219,0.0
Lidar,L1,8.317,0.0
Lidar,L1,8.415,0.0
Lidar,L1,8.513,0.0
Lidar,L1,8.611,0.0
Lidar,L1,8.708,0.0
Lidar,L1,8.806,0.0
Lidar,L1,8.904,0.0
Lidar,L1,9.002,0.0
Lidar,L1,9.1,0.0
Lidar,L1,9.198,0.0
Lidar,L1,9.295,0.0
Lidar,L1,9.393,0.0
Lidar,L1,9.491,0.0
Lidar,L1,9.589,0.0
Lidar,L1,9.687,0.0
Lidar,L1,9.785,0.0
Lidar,L1,9.883,0.0
Lidar,L1,9.98,0.0
Lidar,L1,10.078,0.0
Lidar,L1,10.176,0.0
Lidar,L1,10.274,0.0
Lidar,L1,10.372,0.0
Lidar,L1,10.47,0.0
Lidar,L1,10.568,0.0
Lidar,L1,10.665,0.0
Lidar,L1,10.763,0.0
Lidar,L1,10.861,0.0
Lidar,L1,10.959,0.0
Lidar,L1,11.057,0.0
Lidar,L1,11.155,0.0
Lidar,L1,11.252,0.0
Lidar,L1,11.35,0.0
Lidar,L1,11.448,0.0
Lidar,L1,11.546,0.0
Lidar,L1,11.644,0.0
Lidar,L1,11.742,0.0
Lidar,L1,11.84,0.0
Lidar,L1,11.937,0.0
Lidar,L1,12.035,0.0
Lidar,L1,12.133,0.0
Lidar,L1,12.231,0.0
Lidar,L1,12.329,0.0
Lidar,L1,12.427,0.0
Lidar,L1,12.524,0.0
Lidar,L1,12.622,0.0
Lidar,L1,12.72,0.0
Lidar,L1,12.818,0.0
Lidar,L1,12.916,0.0
Lidar,L1,13.014,0.0
Lidar,L1,13.112,0.0
Lidar,L1,13.209,0.0
Lidar,L1,13.307,0.0
Lidar,L1,13.405,0.0
Lidar,L1,13.503,0.0
Lidar,L1,13.601,0.0
Lidar,L1,13.699,0.0
Lidar,L1,13.796,0.0
Lidar,L1,13.894,0.0
Lidar,L1,13.992,0.0
Lidar,L1,14.09,0.0
Lidar,L1,14.188,0.0
Lidar,L1,14.286,0.0
Lidar,L1,14.384,0.0
Lidar,L1,14.481,0.0
Lidar,L1,14.579,0.0
Lidar,L1,14.677,0.0
Lidar,L1,14.775,0.0
Lidar,L1,14.873,0.0
Lidar,L1,14.971,0.0
Lidar,L1,15.068,0.0
Lidar,L1,15.166,0.0
Lidar,L1,15.264,0.0
Lidar,L1,15.362,0.0
Lidar,L1,15.46,0.0
Lidar,L1,15.558,0.0
Lidar,L1,15.656,0.0
Lidar,L1,15.753,0.0
Lidar,L1,15.851,0.0
Lidar,L1,15.949,0.0
Lidar,L1,16.047,0.0
Lidar,L1,16.145,0.0
Lidar,L1,16.243,0.0
Lidar,L1,16.341,0.0
Lidar,L1,16.438,0.0
Lidar,L1,16.536,0.0
Lidar,L1,16.634,0.0
Lidar,L1,16.732,0.0
Lidar,L1,16.83,0.0
Lidar,L1,16.928,0.0
Lidar,L1,17.025,0.0
Lidar,L1,17.123,0.0
Lidar,L1,17.221,0.0
Lidar,L1,17.319,0.0
Lidar,L1,17.417,0.0
Lidar,L1,17.515,0.0
Lidar,L1,17.613,0.0
Lidar,L1,17.71,0.0
Lidar,L1,17.808,0.0
Lidar,L1,17.906,0.0
Lidar,L1,18.004,0.0
Lidar,L1,18.102,0.0
